City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Esso,RU,55.9333,158.7,44.02,70,100,3.44,overcast clouds
213,Sambava,MG,-14.2667,50.1667,69.17,82,18,12.15,few clouds
214,Sept-Iles,CA,50.2001,-66.3821,56.25,98,90,8.99,mist
215,Nipawin,CA,53.3668,-104.0009,68.04,37,20,4.61,few clouds
216,Edd,ER,13.9297,41.6925,87.13,75,54,9.13,broken clouds
217,Acajutla,SV,13.5928,-89.8275,97.14,77,88,5.19,overcast clouds
218,Rawson,AR,-43.3002,-65.1023,54.28,27,27,9.06,scattered clouds
219,Cartagena,CO,10.3997,-75.5144,89.22,74,40,9.22,scattered clouds
220,Razole,IN,16.4833,81.8333,75.43,96,100,6.02,heavy intensity rain
221,Rio Gallegos,AR,-51.6226,-69.2181,48.25,34,40,14.97,scattered clouds
222,Tautira,PF,-17.7333,-149.15,84.22,78,12,13.4,few clouds
223,Podhum,BA,43.7231,17.0011,63.16,76,45,2.71,scattered clouds
224,Jambi,ID,-1.6,103.6167,72.34,98,60,2.33,broken clouds
225,Segou,ML,13.4317,-6.2157,80.46,61,86,8.5,overcast clouds
226,Hobyo,SO,5.3505,48.5268,77.63,79,38,24.32,scattered clouds
227,Narsaq,GL,60.9167,-46.05,35.82,53,0,4.61,clear sky
228,Cidreira,BR,-30.1811,-50.2056,64.74,95,1,7.25,clear sky
229,Kirensk,RU,57.7853,108.1119,33.55,98,99,5.46,overcast clouds
230,Cordoba,AR,-31.4135,-64.1811,71.76,29,0,5.99,clear sky
231,Atherton,GB,53.5237,-2.4935,64.29,79,96,11.01,overcast clouds
232,Espanola,US,35.9911,-106.0806,80.71,29,63,11.86,broken clouds
233,Namatanai,PG,-3.6667,152.4333,83.5,70,66,3.74,light rain
234,Lebu,CL,-37.6167,-73.65,49.26,70,16,21.56,few clouds
235,Anadyr,RU,64.75,177.4833,34.3,86,20,4.0,few clouds
236,San Quintin,MX,30.4833,-115.95,70.61,68,0,13.04,clear sky
237,Manacor,ES,39.5696,3.2096,71.51,64,80,1.16,broken clouds
238,Khor,RU,47.8861,134.9464,56.88,80,80,7.92,broken clouds
239,Chuy,UY,-33.6971,-53.4616,57.97,93,3,5.93,clear sky
240,Meulaboh,ID,4.1363,96.1285,75.04,91,100,6.06,overcast clouds
241,Inhambane,MZ,-23.865,35.3833,70.99,91,1,6.8,clear sky
242,Vao,NC,-22.6667,167.4833,68.11,67,99,6.6,overcast clouds
243,Troitskoye,RU,52.9821,84.6757,32.22,88,99,9.55,light snow
244,Ndende,GA,-2.4008,11.3581,73.09,95,100,3.11,light rain
245,Cabo San Lucas,MX,22.8909,-109.9124,92.52,68,15,5.95,few clouds
246,Kaduy,RU,59.2,37.15,46.44,96,86,6.78,overcast clouds
247,Lafiagi,NG,8.8667,5.4167,76.46,86,91,3.83,overcast clouds
248,Sompeta,IN,18.9333,84.6,80.47,86,100,15.03,light rain
249,Salinopolis,BR,-0.6136,-47.3561,80.62,76,62,13.82,broken clouds
250,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.38,59,43,1.97,scattered clouds
251,Broken Hill,AU,-31.95,141.4333,56.91,30,56,10.36,broken clouds
252,Aleksandrov Gay,RU,50.147,48.5704,51.35,83,100,15.08,overcast clouds
253,Brae,GB,60.3964,-1.353,55.31,97,100,20.38,overcast clouds
254,Kormilovka,RU,55.0026,74.1028,29.95,75,98,8.28,overcast clouds
255,Ngunguru,NZ,-35.6167,174.5,61.16,61,100,7.23,overcast clouds
256,Bengkulu,ID,-3.8004,102.2655,74.71,92,100,5.17,overcast clouds
257,Ahipara,NZ,-35.1667,173.1667,57.15,61,100,8.61,overcast clouds
